date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,cryptoname
2019-11-27,146,146,146,146,0.010,2019-11-27,1.46000,1,0,0,ETH/USDT
2019-11-27,125.03,145.01,125.03,133,0.080,2019-11-27,10.92040,5,0.010,1.45010,ETH/USDT
2019-11-27,142.20,146.92,142.10,146.58,11912.510,2019-11-27,1716153.85640,1494,8528.020,1223895.74220,ETH/USDT
2019-11-27,146.53,149.34,145.73,148.26,16279.170,2019-11-27,2407307.53830,1990,4021.500,594848.45840,ETH/USDT
2019-11-27,148.35,151.64,146.80,150.65,18572.870,2019-11-27,2753414.46400,1918,1945.610,288661.36990,ETH/USDT
2019-11-27,150.72,154.93,148.33,153.63,18560.650,2019-11-27,2817274.81000,2308,1509.460,229486.36750,ETH/USDT
2019-11-27,153.66,155.50,152.84,153.87,16525.300,2019-11-27,2541934.64190,1822,6467.160,995836.53160,ETH/USDT
2019-11-27,153.84,155.66,152.03,153.44,17984.820,2019-11-27,2762133.11390,1847,16502.290,2534567.07870,ETH/USDT
2019-11-28,153.29,154.29,152.30,152.52,16076.430,2019-11-28,2462201.17840,1758,14309.560,2191617.34880,ETH/USDT
2019-11-28,154.29,154.47,146.41,146.62,2243.520,2019-11-28,341409.69140,711,256.490,39427.57050,ETH/USDT
2019-11-28,147.86,156.52,147.86,152.03,6200.690,2019-11-28,941780.73880,1600,1358.840,207747.61470,ETH/USDT
2019-11-28,151.93,152.45,150.18,151.15,9784.890,2019-11-28,1480537.82210,1667,2541.610,384807.13640,ETH/USDT
2019-11-28,151.15,153.02,150.45,151.98,11541.830,2019-11-28,1754220.43460,1720,2298.090,349402.22940,ETH/USDT
2019-11-28,152.04,152.76,151.24,152.21,11334.915,2019-11-28,1724718.48446,1748,2422.964,368709.93456,ETH/USDT
2019-11-28,152.14,152.14,149.63,151.43,10368.780,2019-11-28,1563775.68410,1713,2556.290,385571.06400,ETH/USDT
2019-11-28,151.43,151.43,149.95,150.84,10740.110,2019-11-28,1618604.91200,1739,2469.590,372204.21750,ETH/USDT
2019-11-28,150.84,154.51,150.13,153.78,10521.920,2019-11-28,1596931.96190,1807,2435.710,369548.54740,ETH/USDT
2019-11-28,153.78,153.95,152.46,153.39,11621.830,2019-11-28,1780825.67480,1780,2399.370,367729.56610,ETH/USDT
2019-11-28,153.33,153.95,152.97,153.50,9824.910,2019-11-28,1507747.58630,1723,2568.810,394349.87940,ETH/USDT
2019-11-28,153.54,154,151.11,151.74,10483.330,2019-11-28,1597198.15230,1772,2505.650,381602.79320,ETH/USDT
2019-11-29,151.72,152.50,148.88,150.48,12157.345,2019-11-29,1834292.12715,1867,2481.730,374209.44530,ETH/USDT
